age,male,female,sum,birth_year
0,12756,12055,24811,2017
1,13965,13079,27044,2016
2,14262,13472,27734,2015
3,15371,14670,30041,2014
4,14983,14272,29255,2013
5,15423,14534,29957,2012
6,14704,13889,28593,2011
7,14573,13751,28324,2010
8,15439,14281,29720,2009
9,14704,13908,28612,2008
10,13711,13393,27104,2007
11,13713,13165,26878,2006
12,13193,12450,25643,2005
13,13107,12676,25783,2004
14,12499,12077,24576,2003
15,12113,11425,23538,2002
16,11909,11065,22974,2001
17,12549,12225,24774,2000
18,12779,12968,25747,1999
19,14589,13835,28424,1998
20,14904,14435,29339,1997
21,16154,15147,31301,1996
22,16537,15533,32070,1995
23,16539,15913,32452,1994
24,17508,16802,34310,1993
25,18254,17611,35865,1992
26,18921,17733,36654,1991
27,18822,18206,37028,1990
28,19512,19174,38686,1989
29,20316,19836,40152,1988
30,20714,19928,40642,1987
31,21996,21005,43001,1986
32,21557,20468,42025,1985
33,22345,21524,43869,1984
34,25006,21395,46401,1983
35,22960,19305,42265,1982
36,19947,18962,38909,1981
37,19868,19280,39148,1980
38,18571,18220,36791,1979
39,18099,17954,36053,1978
40,17207,17144,34351,1977
41,17730,17585,35315,1976
42,16935,17521,34456,1975
43,16745,17277,34022,1974
44,16622,17050,33672,1973
45,16763,17381,34144,1972
46,16975,17482,34457,1971
47,17175,18060,35235,1970
48,16016,16899,32915,1969
49,16092,17048,33140,1968
50,15745,16698,32443,1967
51,15894,16978,32872,1966
52,15839,17158,32997,1965
53,16167,18374,34541,1964
54,16713,18825,35538,1963
55,17102,19691,36793,1962
56,17457,19988,37445,1961
57,18066,21255,39321,1960
58,16942,20612,37554,1959
59,16916,20432,37348,1958
60,15282,19207,34489,1957
61,13890,17470,31360,1956
62,12985,16957,29942,1955
63,11989,16360,28349,1954
64,10226,14284,24510,1953
65,10333,15060,25393,1952
66,9880,14709,24589,1951
67,9005,13501,22506,1950
68,8882,13741,22623,1949
69,8363,12912,21275,1948
70,7707,12929,20636,1947
71,6402,10770,17172,1946
72,5772,10041,15813,1945
73,5877,10744,16621,1944
74,4362,7883,12245,1943
75,4589,8884,13473,1942
76,5891,11347,17238,1941
77,5617,11488,17105,1940
78,4424,10008,14432,1939
79,4306,10003,14309,1938
80,4117,9588,13705,1937
81,3614,8729,12343,1936
82,3048,7574,10622,1935
83,2414,6524,8938,1934
84,2156,5927,8083,1933
85,2109,5772,7881,1932
86,1721,4607,6328,1931
87,1611,4458,6069,1930
88,919,3157,4076,1929
89,880,2865,3745,1928
90,741,2097,2838,1927
91,397,1548,1945,1926
92,345,1286,1631,1925
93,214,991,1205,1924
94,120,534,654,1923
95,50,542,592,1922
96,68,339,407,1921
97,137,310,447,1920
98,19,27,46,1919
99,20,113,133,1918
100,94,324,418,1917
